Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
2.000000e-03 3.951660e-01 1.784926e+02 9.374523e+01     Pix  2  4
2.000000e-03 4.244273e-01 1.743093e+02 9.586971e+01     Pix  2  5
2.000000e-03 4.062064e-01 1.767503e+02 9.224517e+01     Pix  2  6
2.000000e-03 4.619953e-01 1.736888e+02 9.300667e+01     Pix  2  7
2.000000e-03 4.125322e-01 1.779443e+02 9.152191e+01     Pix  2  8
2.000000e-03 4.276704e-01 1.766348e+02 9.263175e+01     Pix  2  9
2.000000e-03 4.465401e-01 1.729764e+02 9.432548e+01     Pix  2 10
2.000000e-03 4.220334e-01 1.773672e+02 9.170799e+01     Pix  2 11
2.000000e-03 4.434592e-01 1.782288e+02 8.950921e+01     Pix  2 12
2.000000e-03 4.902135e-01 1.728506e+02 9.553609e+01     Pix  2 13
2.000000e-03 4.512591e-01 1.770859e+02 9.216347e+01     Pix  2 14
2.000000e-03 4.342123e-01 1.753141e+02 9.401274e+01     Pix  2 15
2.000000e-03 4.009223e-01 1.772151e+02 9.409506e+01     Pix  2 16
2.000000e-03 4.064352e-01 1.761089e+02 9.308987e+01     Pix  2 17
2.000000e-03 4.259624e-01 1.764003e+02 9.208202e+01     Pix  2 18
2.000000e-03 4.208100e-01 1.767666e+02 9.242526e+01     Pix  2 19
2.000000e-03 4.514676e-01 1.743980e+02 9.374411e+01     Pix  2 20
2.000000e-03 4.445948e-01 1.753170e+02 9.300011e+01     Pix  2 21
2.000000e-03 4.577765e-01 1.751586e+02 9.360187e+01     Pix  2 22
2.000000e-03 4.405546e-01 1.760204e+02 9.310013e+01     Pix  2 23
2.000000e-03 4.863909e-01 1.752954e+02 9.158377e+01     Pix  2 24
2.000000e-03 4.253046e-01 1.800023e+02 9.006206e+01     Pix  2 25
2.000000e-03 4.639793e-01 1.776085e+02 9.081392e+01     Pix  2 26
2.000000e-03 4.382400e-01 1.770972e+02 9.149658e+01     Pix  2 27
2.000000e-03 4.148296e-01 1.789226e+02 9.025806e+01     Pix  2 28
2.000000e-03 4.200556e-01 1.765970e+02 9.218101e+01     Pix  2 29
2.000000e-03 4.633123e-01 1.773550e+02 8.951950e+01     Pix  2 30
2.000000e-03 4.430386e-01 1.802389e+02 8.738565e+01     Pix  2 31
2.000000e-03 4.717489e-01 1.778210e+02 8.914722e+01     Pix  2 32
2.000000e-03 4.442938e-01 1.751866e+02 9.270826e+01     Pix  2 33
2.000000e-03 3.992818e-01 1.796982e+02 8.985470e+01     Pix  2 34
2.000000e-03 4.554727e-01 1.741642e+02 9.578795e+01     Pix  2 35
2.000000e-03 4.536440e-01 1.780713e+02 9.093588e+01     Pix  2 36
2.000000e-03 4.629240e-01 1.761236e+02 9.006690e+01     Pix  2 37
2.000000e-03 4.559925e-01 1.771630e+02 9.027678e+01     Pix  2 38
2.000000e-03 4.737936e-01 1.762845e+02 9.348275e+01     Pix  2 39
2.000000e-03 4.229545e-01 1.770200e+02 9.199448e+01     Pix  2 40
2.000000e-03 4.442885e-01 1.769041e+02 9.044341e+01     Pix  2 41
2.000000e-03 5.061389e-01 1.738972e+02 9.462963e+01     Pix  2 42
2.000000e-03 4.585313e-01 1.770357e+02 9.153935e+01     Pix  2 43
2.000000e-03 4.956157e-01 1.741825e+02 9.238614e+01     Pix  2 44
2.000000e-03 4.769276e-01 1.736062e+02 9.330774e+01     Pix  2 45
2.000000e-03 4.411954e-01 1.749200e+02 9.387995e+01     Pix  2 46
2.000000e-03 4.536956e-01 1.758919e+02 9.144424e+01     Pix  2 47
2.000000e-03 4.779451e-01 1.758954e+02 9.123186e+01     Pix  2 48
2.000000e-03 5.328636e-01 1.711176e+02 9.262311e+01     Pix  2 49
1.999972e-03 4.778111e-01 1.761581e+02 9.133834e+01     Pix  2 50
2.000000e-03 4.400370e-01 1.736070e+02 9.455644e+01     Pix  2 51
2.000000e-03 4.756254e-01 1.710945e+02 9.713204e+01     Pix  2 52
2.000000e-03 4.493167e-01 1.738146e+02 9.481360e+01     Pix  2 53
2.000000e-03 5.003471e-01 1.711981e+02 9.483223e+01     Pix  2 54
2.000000e-03 4.888382e-01 1.737799e+02 9.395373e+01     Pix  2 55
2.000000e-03 4.649685e-01 1.741686e+02 9.360816e+01     Pix  2 56
2.000000e-03 4.662966e-01 1.726070e+02 9.319554e+01     Pix  2 57
2.000000e-03 4.542533e-01 1.759762e+02 9.160051e+01     Pix  2 58
2.000000e-03 4.939487e-01 1.718699e+02 9.600094e+01     Pix  2 59
2.000000e-03 5.111268e-01 1.718048e+02 9.445500e+01     Pix  2 60
2.000000e-03 5.185191e-01 1.717384e+02 9.275184e+01     Pix  2 61
2.000000e-03 5.291149e-01 1.709119e+02 9.280660e+01     Pix  2 62
2.000000e-03 5.053655e-01 1.688807e+02 9.671997e+01     Pix  2 63
2.000000e-03 4.882338e-01 1.719419e+02 9.599116e+01     Pix  2 64
2.000000e-03 5.046468e-01 1.700178e+02 9.606875e+01     Pix  2 65
2.000000e-03 4.944866e-01 1.721475e+02 9.429124e+01     Pix  2 66
2.000000e-03 5.034355e-01 1.731980e+02 9.302861e+01     Pix  2 67
2.000000e-03 5.119586e-01 1.728335e+02 9.139756e+01     Pix  2 68
2.000000e-03 5.022453e-01 1.657523e+02 9.908840e+01     Pix  2 69
2.000000e-03 5.040576e-01 1.683248e+02 9.710369e+01     Pix  2 70
2.000000e-03 4.699362e-01 1.713621e+02 9.533990e+01     Pix  2 71
2.000000e-03 5.207802e-01 1.687463e+02 9.595511e+01     Pix  2 72
2.000000e-03 5.160342e-01 1.691027e+02 9.538475e+01     Pix  2 73
2.000000e-03 5.160259e-01 1.703656e+02 9.385842e+01     Pix  2 74
2.000000e-03 5.487795e-01 1.655801e+02 9.848183e+01     Pix  2 75
1.999967e-03 5.126500e-01 1.697971e+02 9.514247e+01     Pix  2 76
2.000000e-03 5.008335e-01 1.704851e+02 9.391313e+01     Pix  2 77
2.000000e-03 5.532088e-01 1.695614e+02 9.565282e+01     Pix  2 78
1.997546e-03 6.021180e-01 1.600439e+02 9.717103e+01     Pix  2 79
2.000000e-03 4.107745e-01 1.780133e+02 9.133981e+01     Pix  3  0
2.000000e-03 4.377162e-01 1.737798e+02 9.586154e+01     Pix  3  1
