Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
2.000000e-03 5.369107e-01 1.666651e+02 1.068325e+02     Pix  3 58
2.000000e-03 5.318649e-01 1.680217e+02 1.056252e+02     Pix  3 59
2.000000e-03 5.656211e-01 1.669764e+02 1.049008e+02     Pix  3 60
2.000000e-03 5.908404e-01 1.650683e+02 1.057687e+02     Pix  3 61
1.999965e-03 5.779897e-01 1.649886e+02 1.067129e+02     Pix  3 62
2.000000e-03 5.555465e-01 1.645748e+02 1.076901e+02     Pix  3 63
2.000000e-03 5.321953e-01 1.672458e+02 1.080102e+02     Pix  3 64
1.999967e-03 5.723257e-01 1.646859e+02 1.077340e+02     Pix  3 65
2.000000e-03 5.638687e-01 1.697429e+02 1.030220e+02     Pix  3 66
2.000000e-03 6.115772e-01 1.642401e+02 1.061630e+02     Pix  3 67
2.000000e-03 5.350161e-01 1.697123e+02 1.028792e+02     Pix  3 68
2.000000e-03 5.418881e-01 1.645929e+02 1.102014e+02     Pix  3 69
2.000000e-03 5.268082e-01 1.661571e+02 1.080611e+02     Pix  3 70
2.000000e-03 5.004325e-01 1.680851e+02 1.071666e+02     Pix  3 71
1.999970e-03 5.570998e-01 1.659086e+02 1.067371e+02     Pix  3 72
2.000000e-03 5.695352e-01 1.666027e+02 1.056357e+02     Pix  3 73
2.000000e-03 5.860752e-01 1.652408e+02 1.085586e+02     Pix  3 74
2.000000e-03 5.601401e-01 1.645849e+02 1.089342e+02     Pix  3 75
2.000000e-03 5.432196e-01 1.681641e+02 1.053610e+02     Pix  3 76
2.000000e-03 5.032892e-01 1.729551e+02 1.039734e+02     Pix  3 77
2.000000e-03 6.106282e-01 1.654949e+02 1.063631e+02     Pix  3 78
1.999950e-03 6.657129e-01 1.567314e+02 1.087254e+02     Pix  3 79
2.000000e-03 4.368108e-01 1.672910e+02 1.073639e+02     Pix  4  0
2.000000e-03 5.072418e-01 1.622151e+02 1.099088e+02     Pix  4  1
2.000000e-03 5.446021e-01 1.584904e+02 1.132730e+02     Pix  4  2
2.000000e-03 5.272264e-01 1.578447e+02 1.145639e+02     Pix  4  3
2.000000e-03 5.339482e-01 1.599509e+02 1.123462e+02     Pix  4  4
2.000000e-03 4.966862e-01 1.622175e+02 1.103751e+02     Pix  4  5
2.000000e-03 5.372628e-01 1.596828e+02 1.120276e+02     Pix  4  6
2.000000e-03 5.821323e-01 1.573765e+02 1.135207e+02     Pix  4  7
2.000000e-03 5.382288e-01 1.617981e+02 1.088443e+02     Pix  4  8
2.000000e-03 5.309830e-01 1.611522e+02 1.088838e+02     Pix  4  9
2.000000e-03 5.661292e-01 1.592717e+02 1.115673e+02     Pix  4 10
2.000000e-03 5.412278e-01 1.617027e+02 1.104304e+02     Pix  4 11
2.000000e-03 5.857610e-01 1.603083e+02 1.087386e+02     Pix  4 12
2.000000e-03 5.919184e-01 1.600356e+02 1.095016e+02     Pix  4 13
2.000000e-03 5.320186e-01 1.658017e+02 1.055216e+02     Pix  4 14
2.000000e-03 5.481404e-01 1.593505e+02 1.114154e+02     Pix  4 15
2.000000e-03 5.351530e-01 1.613788e+02 1.111488e+02     Pix  4 16
2.000000e-03 5.381192e-01 1.594425e+02 1.130011e+02     Pix  4 17
2.000000e-03 4.635354e-01 1.703094e+02 1.042651e+02     Pix  4 18
2.000000e-03 5.378909e-01 1.641072e+02 1.086607e+02     Pix  4 19
2.000000e-03 5.535438e-01 1.614635e+02 1.088898e+02     Pix  4 20
2.000000e-03 5.133813e-01 1.640632e+02 1.068672e+02     Pix  4 21
2.000000e-03 5.085786e-01 1.640344e+02 1.086617e+02     Pix  4 22
2.000000e-03 5.514313e-01 1.596294e+02 1.117807e+02     Pix  4 23
